站名,X,Y,color,人數,車位數,size
木柵動物園停車場,78.7,-69.9,g,0,964,32
水源快速道路高架橋下停車場,23,-60.7,g,0,175,6
景華公園地下停車場,33.6,-73.9,g,0,748,25
辛亥國小地下停車場,52.9,-56,g,0,129,4
台北花木批發市場地下停車場,29.4,-61.2,g,0,409,14
興隆市場旁平面停車場,37.9,-68.1,g,0,35,1
景文平面停車場,29.6,-80.6,g,0,55,2
三福街平面停車場,32.7,-69.7,g,0,39,1
溪州街平面停車場,23.1,-59.9,g,0,17,1
萬慶平面停車場,26.7,-76.1,g,0,23,1
保儀路平面停車場,61.9,-87.7,g,0,44,1
和平東路四段381巷平面停車場,72.8,-66.6,g,0,26,1
和興街平面停車場,40,-88.61,g,0,19,1
萬芳八號公園停車場,54,-61.5,g,0,109,4
景豐平面停車場,34.7,-63.1,g,0,44,1
中山南路2巷臨時平面停車場,0.3,-1.1,g,0,27,1
中山堂地下停車場,-8.8,-3,g,0,441,15
耕莘文教平面停車場,14.5,-39.9,g,0,57,2
同安街平面停車場,4,-37.3,g,0,21,1
莒光立體停車場,-18.8,-22,g,0,123,4
新糖廊公園地下停車場,-30.2,-18.9,g,0,70,2
大理地下停車場,-31.4,-17.9,g,0,49,2
萬華國中地下停車場,-24.2,-24.7,g,0,508,17
環南市場平面及地下停車場,-34.9,-25.3,g,0,78,3
洛陽綜合立體停車場,-15.7,1.4,g,0,1676,56
萬板地下停車場,-35,-26.3,g,0,180,6
雙園平面停車場,-38,-19.7,g,0,147,5
峨嵋立體停車場,-15.9,-3.2,g,0,533,18
古亭國中地下停車場,-9.8,-32.5,g,0,260,9
青年公園高爾夫球場地下停車場,-13.7,-31.1,g,0,332,11
雙園國中地下停車場,-33.5,-26.9,g,0,321,11
青年公園棒球場地下停車場,-19.7,-32.6,g,0,276,9
艋舺公園地下停車場,-23.6,-15,g,0,470,16
桂林路底提外停車場,-28.3,-10.9,g,0,109,4
華江橋下雙層停車場,-33.7,-16.1,g,0,115,4
華江橋下停車場,-34.5,-16.2,g,0,38,1
東園平面停車場,-30.2,-40.9,g,0,75,3
